col_name,nunique,nunique_ratio,H,M,L,ratio_H,ratio_M,ratio_L,dropMean,dropMedian,dropMax,dropMin,dtype,95%in10,type
class,2,0.0350877192982,0,0,0,0,0,0,0,0,0,0,object,True,binary
IDENTIF,105,1.0,0,0,0,0,0,0,0,0,0,0,object,False,categorical
RIVER,4,0.0380952380952,0,0,0,0,0,0,0,0,0,0,object,True,categorical
PURPOSE,4,0.0380952380952,0,0,0,0,0,0,0,0,0,0,object,True,categorical
MATERIAL,3,0.0285714285714,0,0,0,0,0,0,0,0,0,0,object,True,categorical
TYPE,6,0.0571428571429,0,0,0,0,0,0,0,0,0,0,object,True,categorical
ERECTED,68,0.647619047619,0,0,0,0,0,0,0,0,0,0,float64,False,numerical
col_8,4,0.0655737704918,0,3,14,0.0,0.1765,0.8235,0.0617,0.0044,0.2511,-0.0042,int64,True,categorical
col_10,6,0.0983606557377,1,5,11,0.0588,0.2941,0.6471,0.1441,0.0862,0.4994,-0.1094,int64,True,categorical
col_11,9,0.147540983607,2,3,12,0.1176,0.1765,0.7059,0.178,0.1845,0.5403,-0.016,int64,True,categorical
col_12,10,0.16393442623,3,7,7,0.1765,0.4118,0.4118,0.2574,0.2543,0.6339,0.0,int64,True,categorical
col_13,8,0.131147540984,3,3,11,0.1765,0.1765,0.6471,0.1766,0.1475,0.457,-0.0287,int64,True,categorical
col_14,10,0.16393442623,1,6,10,0.0588,0.3529,0.5882,0.189,0.1532,0.4383,-0.0023,int64,True,categorical
col_15,7,0.114754098361,7,4,6,0.4118,0.2353,0.3529,0.3034,0.3512,0.637,-0.0056,int64,True,categorical
col_18,6,0.0983606557377,1,2,14,0.0588,0.1176,0.8235,0.1005,0.1029,0.4223,-0.1046,int64,True,categorical
virus_type,4,0.0655737704918,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,object,True,categorical
col_1,19,0.311475409836,2,7,8,0.1176,0.4118,0.4706,0.233,0.1942,0.7257,-0.0017,int64,False,numerical
